date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:33:27	299460/299460	---M--	200	added ('OK')	application/javascript	etag:%22642faad7-491c4%22	https://skuld.co.kr/assets/js/jquery.js	D:/aichart2/ai2/skuld.co.kr/assets/js/jquery.js	(from https://skuld.co.kr/youtube)
10:33:27	3253/3253	---M--	200	added ('OK')	application/javascript	etag:%22642faad7-cb5%22	https://skuld.co.kr/assets/js/jquery.cookie.js	D:/aichart2/ai2/skuld.co.kr/assets/js/jquery.cookie.js	(from https://skuld.co.kr/youtube)
10:33:28	41172/41172	---M--	200	added ('OK')	application/javascript	etag:%22645b298b-a0d4%22	https://skuld.co.kr/assets/js/module/module.range.js	D:/aichart2/ai2/skuld.co.kr/assets/js/module/module.range.js	(from https://skuld.co.kr/youtube)
10:33:28	22426/22426	---M--	200	added ('OK')	application/javascript	etag:%2265c43f25-579a%22	https://skuld.co.kr/assets/js/module/module.nosleep.js	D:/aichart2/ai2/skuld.co.kr/assets/js/module/module.nosleep.js	(from https://skuld.co.kr/youtube)
10:33:28	927331/927331	---M--	200	added ('OK')	application/javascript	etag:%22646ebe71-e2663%22	https://skuld.co.kr/assets/anychart/js/anychart-core.min.js	D:/aichart2/ai2/skuld.co.kr/assets/anychart/js/anychart-core.min.js	(from https://skuld.co.kr/youtube)
10:33:29	34374/34374	---M--	200	added ('OK')	application/javascript	etag:%22646ebe72-8646%22	https://skuld.co.kr/assets/anychart/js/anychart-treemap.min.js	D:/aichart2/ai2/skuld.co.kr/assets/anychart/js/anychart-treemap.min.js	(from https://skuld.co.kr/youtube)
10:33:29	776440/776440	---M--	200	added ('OK')	font/woff	etag:W/%22bd8f8-VXwO3NVpRiZGdTxEWokxgTa16Wk%22	https://cdn.jsdelivr.net/gh/projectnoonnu/noonfonts_231029@1.1/JalnanGothic.woff	D:/aichart2/ai2/cdn.jsdelivr.net/gh/projectnoonnu/noonfonts_231029@1.1/JalnanGothic.woff	(from https://skuld.co.kr/youtube)
10:33:29	1129800/1129800	---M--	200	added ('OK')	font/woff	etag:W/%22113d48-PMZHxKldzV5y16JrrYCA35x0J6I%22	https://cdn.jsdelivr.net/gh/Project-Noonnu/noonfonts_2107@1.1/Pretendard-Regular.woff	D:/aichart2/ai2/cdn.jsdelivr.net/gh/Project-Noonnu/noonfonts_2107@1.1/Pretendard-Regular.woff	(from https://skuld.co.kr/youtube)
10:33:30	20146/20146	---MC-	200	added ('OK')	text/html	date:Sat,%2017%20Feb%202024%2001:33:29%20GMT	https://skuld.co.kr/youtube/script/?_1708133597	D:/aichart2/ai2/skuld.co.kr/youtube/script/index3a2a.html	(from https://skuld.co.kr/youtube)
10:33:30	62428/62428	---M--	200	added ('OK')	text/javascript	date:Tue,%2004%20Apr%202023%2017:52:30%20GMT	https://www.gstatic.com/charts/loader.js	D:/aichart2/ai2/www.gstatic.com/charts/loader.js	(from https://skuld.co.kr/youtube)
10:33:30	297176/297176	---M--	200	added ('OK')	font/woff	etag:W/%22488d8-XWwXoJz1A87EbiM5YDy7uuVI7I8%22	https://cdn.jsdelivr.net/gh/projectnoonnu/noonfonts_one@1.0/GoyangDeogyang.woff	D:/aichart2/ai2/cdn.jsdelivr.net/gh/projectnoonnu/noonfonts_one@1.0/GoyangDeogyang.woff	(from https://skuld.co.kr/assets/css/layout/default.css)
10:33:31	242894/242894	---M--	200	added ('OK')	image/png	etag:%22642faad7-3b4ce%22	https://skuld.co.kr/assets/images/bg-effect.png	D:/aichart2/ai2/skuld.co.kr/assets/images/bg-effect.png	(from https://skuld.co.kr/assets/css/layout/default.css)
10:33:31	79010/79010	---M--	200	added ('OK')	image/png	etag:%22642faaee-134a2%22	https://skuld.co.kr/assets/images/flags/flags.png	D:/aichart2/ai2/skuld.co.kr/assets/images/flags/flags.png	(from https://skuld.co.kr/assets/css/layout/flags.css)
10:33:31	808664/808664	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22642faad7-c56d8%22	https://skuld.co.kr/assets/fonts/materialdesignicons-webfont.eot?v=4.7.95	D:/aichart2/ai2/skuld.co.kr/assets/fonts/materialdesignicons-webfonta5da.eot	(from https://skuld.co.kr/assets/css/module/module.icon.css)
10:33:31	808664/808664	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22642faad7-c56d8%22	https://skuld.co.kr/assets/fonts/materialdesignicons-webfont.eot?	D:/aichart2/ai2/skuld.co.kr/assets/fonts/materialdesignicons-webfontd41d.eot	(from https://skuld.co.kr/assets/css/module/module.icon.css)
10:33:31	269404/269404	---M--	200	added ('OK')	font/woff2	etag:%22642faad7-41c5c%22	https://skuld.co.kr/assets/fonts/materialdesignicons-webfont.woff2?v=4.7.95	D:/aichart2/ai2/skuld.co.kr/assets/fonts/materialdesignicons-webfonta5da.woff2	(from https://skuld.co.kr/assets/css/module/module.icon.css)
10:33:31	386840/386840	---M--	200	added ('OK')	font/woff	etag:%22642faad7-5e718%22	https://skuld.co.kr/assets/fonts/materialdesignicons-webfont.woff?v=4.7.95	D:/aichart2/ai2/skuld.co.kr/assets/fonts/materialdesignicons-webfonta5da.woff	(from https://skuld.co.kr/assets/css/module/module.icon.css)
10:33:32	808444/808444	---M--	200	added ('OK')	application/octet-stream	etag:%22642faad7-c55fc%22	https://skuld.co.kr/assets/fonts/materialdesignicons-webfont.ttf?v=4.7.95	D:/aichart2/ai2/skuld.co.kr/assets/fonts/materialdesignicons-webfonta5da.ttf	(from https://skuld.co.kr/assets/css/module/module.icon.css)
10:33:32	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://skuld.co.kr/youtube)
